name,geometry/lat,geometry/lng,place_id,types/0,types/1,types/2,types/3,types/4,user_ratings_total,vicinity,accident_loc,types_str,types/5,types/6
Pearl Rotana Capital Centre,24.4179239,54.4399215,ChIJe5TuNiNmXj4RXTxuJmZrVwo,lodging,point_of_interest,establishment,,,1314,Al Khaleej Al Arabi Street - Abu Dhabi,شارع 33,lodging_point_of_interest_establishment,,
الهلال الاحمر ( الامانه العامه ),24.4217712,54.4453844,ChIJx1bREGtDXj4RAv9F_M39aYI,lodging,point_of_interest,establishment,,,3,25 شارع - القَنَادِيل - أبو ظبي,شارع 33,lodging_point_of_interest_establishment,,
ADNH Compass,24.421986,54.4459499,ChIJ03Id5W1CXj4RjhKvxJdUvX0,lodging,point_of_interest,establishment,,,56,Abu Dhabi,شارع 33,lodging_point_of_interest_establishment,,
فندق كابيتال سنتر ابو ظبي الموظف اندروا,24.4184187,54.4406029,ChIJhT39VjNDXj4RUopMHlLIY14,lodging,point_of_interest,establishment,,,1,30 شارع - Al Mu-Atamarat Street - Abu Dhabi,شارع 33,lodging_point_of_interest_establishment,,
Department of Health Mosque,24.4234539,54.4459901,ChIJ3QF81W9DXj4RXlHa1tafJvc,mosque,place_of_worship,point_of_interest,establishment,,1,39 شارع - القَنَادِيل - أبو ظبي,شارع 33,mosque_place_of_worship_point_of_interest_establishment,,
Relax@12,24.4199376,54.4392704,ChIJ7SKRR3RCXj4Rbq3j71gjSEs,night_club,bar,restaurant,food,point_of_interest,160,"Aloft Abu Dhabi Hotel, Khaleej Alarabi Street, Adnec - أبو ظبي",شارع 33,night_club_bar_restaurant_food_point_of_interest_establishment,establishment,
Club So-Hi,24.4205719,54.4392385,ChIJ5_NUD3RCXj4RPStjUBRzEXg,night_club,point_of_interest,establishment,,,19,Al Karamah Street - Abu Dhabi,شارع 33,night_club_point_of_interest_establishment,,
Mawaqif parking,24.4183163,54.4451921,ChIJx7_yxahDXj4RsiCEVQU1624,parking,point_of_interest,establishment,,,1,CC9W+83G - Abu Dhabi,شارع 33,parking_point_of_interest_establishment,,
Al Manara Pharmacy - AD1 ; AD1 صيدلية المنارة فرع,24.4201705,54.4429636,ChIJfbvdSHJCXj4RUgT46rx4lzY,pharmacy,health,point_of_interest,store,establishment,11,"مركز الروضة - AD1 Tower, Al Karamah St, Al Rawdah Capital Center برج 1AD - شارع الكرامة",شارع 33,pharmacy_health_point_of_interest_store_establishment,,
"Medicina Pharmacy - Capital House, Abu Dhabi",24.4206162,54.4419087,ChIJk8Sqz3NCXj4RUgENtK7jj7w,pharmacy,health,point_of_interest,store,establishment,13,Capital House - Al Karamah Street - Abu Dhabi,شارع 33,pharmacy_health_point_of_interest_store_establishment,,
